,ERR1474690,ERR1474691,ERR1474692,ERR1474693,ERR1474698,ERR1474699,ERR1474700,ERR1474701
INT12900,10.72091746,7.989239242,8.994450637,9.047663701,0,0,0,0
INT18454,9.621381789,12.28691979,9.911988477,10.32777162,0,0,10.02061179,0
INT34434,9.135954962,8.726204837,9.731416231,9.410233781,8.724428748,8.693628416,0,0
INT56814,9.135954962,9.86370836,9.911988477,0,8.724428748,0,0,0
INT6125,8.398989368,10.65220426,8.631880558,10.32777162,0,8.693628416,0,8.531886409
INT42891,8.398989368,9.211631664,10.46838183,8.562236874,0,11.96664691,9.535184959,0
INT47103,9.135954962,9.211631664,10.95380865,9.699740398,9.94682117,8.693628416,0,8.531886409
INT24576,9.135954962,9.574201743,8.14645373,9.047663701,0,8.693628416,0,0
INT5628,9.621381789,11.04813293,12.98439697,10.6326262,11.38739376,14.45739407,11.30071971,11.8049049
INT38192,9.983951868,10.10471646,8.631880558,8.562236874,0,8.693628416,9.535184959,0
INT18685,8.398989368,7.989239242,9.283957254,9.410233781,0,8.693628416,0,0
INT15023,9.983951868,11.44867086,10.86891975,9.410233781,8.724428748,0,9.535184959,10.8538145
INT36771,9.621381789,10.49173958,9.283957254,10.48823629,9.94682117,8.693628416,8.798219365,9.268852003
INT24418,9.983951868,10.49173958,11.25079039,10.32777162,8.724428748,9.916020837,10.91369658,10.40635553
INT4183,11.33758882,11.04813293,12.12830638,11.44976215,0,12.15306003,10.91369658,11.33924133
INT39572,10.90148971,9.574201743,9.283957254,7.82527128,0,10.27859092,11.30071971,0
INT13517,0,9.86370836,8.994450637,8.562236874,9.461394342,0,0,0
INT18452,10.72091746,9.211631664,9.524965354,9.410233781,0,0,10.67268848,8.531886409
INT21643,11.76822318,7.989239242,9.283957254,10.32777162,0,0,10.38318187,9.268852003
INT22353,9.983951868,7.989239242,10.46838183,8.562236874,0,11.19612876,9.535184959,0
INT49538,9.135954962,8.726204837,9.283957254,9.699740398,9.94682117,0,8.798219365,0
INT45001,0,9.211631664,8.994450637,9.047663701,0,8.693628416,8.798219365,9.754278831
INT37864,10.51446659,7.989239242,8.994450637,9.410233781,8.724428748,0,10.38318187,10.64736363
INT52430,11.67200786,11.53355976,11.25079039,11.79489763,10.30939125,10.27859092,11.30071971,11.19485142
INT18456,10.27345849,9.211631664,7.409488136,9.047663701,8.724428748,0,8.798219365,9.268852003
INT31653,11.76822318,12.70805749,12.33232028,13.64118822,11.22692909,9.43059401,11.60557429,11.47048586
